Command: show arp
Executed at: 2024-08-13 11:13:10
Output:
Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  161.8.108.40          198   bc22.2864.9ebf  ARPA   Vlan108
Internet  161.8.108.41           56   bc22.2864.9f3a  ARPA   Vlan108
Internet  161.8.108.44            9   18c0.4d15.2f4e  ARPA   Vlan108
Internet  161.8.108.47            0   000b.8272.778b  ARPA   Vlan108
Internet  161.8.108.48            6   18c0.4d85.e679  ARPA   Vlan108
Internet  161.8.108.50            2   18c0.4d15.e303  ARPA   Vlan108
Internet  161.8.108.51            6   0007.3b93.310c  ARPA   Vlan108
Internet  161.8.108.52           85   d050.9963.5384  ARPA   Vlan108
Internet  161.8.108.53            0   f4ce.4684.cd42  ARPA   Vlan108
Internet  161.8.108.54          121   0000.e016.c9f7  ARPA   Vlan108
Internet  161.8.108.56            5   ccf9.54a9.fa3c  ARPA   Vlan108
Internet  161.8.108.57            0   0004.636f.4d98  ARPA   Vlan108
Internet  161.8.108.58            0   00c0.eeb1.e843  ARPA   Vlan108
Internet  161.8.108.59           60   e0d5.5e08.01ae  ARPA   Vlan108
Internet  161.8.108.61            0   0012.79d2.f0c3  ARPA   Vlan108
Internet  161.8.108.62            0   000b.8264.2b7b  ARPA   Vlan108
Internet  161.8.108.63            0   4419.b70a.676d  ARPA   Vlan108
Internet  161.8.108.64           26   1078.d24e.67d3  ARPA   Vlan108
Internet  161.8.108.67            0   Incomplete      ARPA   
Internet  161.8.108.68            0   b42e.990c.044c  ARPA   Vlan108
Internet  161.8.108.69            4   0002.3f69.6115  ARPA   Vlan108
Internet  161.8.108.70            2   b42e.990b.fccb  ARPA   Vlan108
Internet  161.8.108.71           61   e430.2267.6396  ARPA   Vlan108
Internet  161.8.108.73            1   18c0.4d15.e346  ARPA   Vlan108
Internet  161.8.108.74            3   7456.3cc7.3ebe  ARPA   Vlan108
Internet  161.8.108.75          206   0012.43bb.87c0  ARPA   Vlan108
Internet  161.8.108.76            0   001b.a97c.8572  ARPA   Vlan108
Internet  161.8.108.77          238   18c0.4d84.f8bb  ARPA   Vlan108
Internet  161.8.108.78            0   18c0.4d16.fa47  ARPA   Vlan108
Internet  161.8.108.80            1   7456.3cc7.47e7  ARPA   Vlan108
Internet  161.8.108.83            0   00c0.ee16.bf00  ARPA   Vlan108
Internet  161.8.108.85            1   00c0.ee1d.7661  ARPA   Vlan108
Internet  161.8.108.86          247   00c0.ee26.2d9f  ARPA   Vlan108
Internet  161.8.108.87            4   b42e.990c.0caa  ARPA   Vlan108
Internet  161.8.108.88            0   00e0.db48.9a17  ARPA   Vlan108
Internet  161.8.108.89           44   2a97.7fdb.9799  ARPA   Vlan108
Internet  161.8.108.92           90   00c0.ee27.255c  ARPA   Vlan108
Internet  161.8.108.93           24   c87f.5404.6426  ARPA   Vlan108
Internet  161.8.108.94           71   bc0f.9a7e.4c9c  ARPA   Vlan108
Internet  161.8.108.95            1   00c0.ee1c.18c1  ARPA   Vlan108
Internet  161.8.108.96           12   00c0.ee27.f1c8  ARPA   Vlan108
Internet  161.8.108.97            0   00c0.ee18.6e30  ARPA   Vlan108
Internet  161.8.108.98            0   b42e.990c.069d  ARPA   Vlan108
Internet  161.8.108.100           0   7456.3cc7.3cde  ARPA   Vlan108
Internet  161.8.108.101           1   18c0.4d85.d9a3  ARPA   Vlan108
Internet  161.8.108.103         109   bc0f.9a7e.4da2  ARPA   Vlan108
Internet  161.8.108.104           1   0019.992c.de88  ARPA   Vlan108
Internet  161.8.108.105          28   0023.2457.fccf  ARPA   Vlan108
Internet  161.8.108.106          41   18c0.4d17.0d12  ARPA   Vlan108
Internet  161.8.108.109           5   18c0.4d84.60b0  ARPA   Vlan108
Internet  161.8.108.110           2   b42e.990c.0eec  ARPA   Vlan108
Internet  161.8.108.111           1   00c0.ee8f.2e40  ARPA   Vlan108
Internet  161.8.108.112          16   0020.6b8d.02db  ARPA   Vlan108
Internet  161.8.108.113         104   d050.9999.ae09  ARPA   Vlan108
Internet  161.8.108.114          24   e0d5.5e0f.5b20  ARPA   Vlan108
Internet  161.8.108.117           0   d050.9999.b6e9  ARPA   Vlan108
Internet  161.8.108.118         236   bcae.c53e.d7f8  ARPA   Vlan108
Internet  161.8.108.119          35   001c.58a2.9e2c  ARPA   Vlan108
Internet  161.8.108.120         183   0000.e116.920a  ARPA   Vlan108
Internet  161.8.108.123           6   c860.0086.2bd9  ARPA   Vlan108
Internet  161.8.108.125           3   0023.2457.f131  ARPA   Vlan108
Internet  161.8.108.126           1   408d.5c22.81e6  ARPA   Vlan108
Internet  161.8.108.127         133   18c0.4d85.21a5  ARPA   Vlan108
Internet  161.8.108.128          45   e0d5.5eb1.024f  ARPA   Vlan108
Internet  161.8.108.130         219   b42e.990b.fcc3  ARPA   Vlan108
Internet  161.8.108.131         125   0019.9901.142c  ARPA   Vlan108
Internet  161.8.108.132          30   7085.c220.c181  ARPA   Vlan108
Internet  161.8.108.134           0   0018.bc01.47bf  ARPA   Vlan108
Internet  161.8.108.135           0   18c0.4d84.f8a0  ARPA   Vlan108
Internet  161.8.108.136           1   00c0.0888.d5cb  ARPA   Vlan108
Internet  161.8.108.137           0   d850.e654.4cda  ARPA   Vlan108
Internet  161.8.108.138           0   bc5f.f402.95b4  ARPA   Vlan108
Internet  161.8.108.139         213   7456.3cd9.9383  ARPA   Vlan108
Internet  161.8.108.140           5   0012.79ce.b407  ARPA   Vlan108
Internet  161.8.108.142          70   e0d5.5e0c.1d84  ARPA   Vlan108
Internet  161.8.108.143           6   b4a9.5aab.9006  ARPA   Vlan108
Internet  161.8.108.144          64   7085.c220.bd0c  ARPA   Vlan108
Internet  161.8.108.146         241   bc0f.9a7e.4d29  ARPA   Vlan108
Internet  161.8.108.147         209   30d0.42f7.7372  ARPA   Vlan108
Internet  161.8.108.149           7   d85e.d3c6.5aa3  ARPA   Vlan108
Internet  161.8.108.150          58   18c0.4d87.4f47  ARPA   Vlan108
Internet  161.8.108.151          16   7085.c220.be2e  ARPA   Vlan108
Internet  161.8.108.153          68   bc0f.9a7e.4d84  ARPA   Vlan108
Internet  161.8.108.154           4   e0d5.5e4b.349b  ARPA   Vlan108
Internet  161.8.108.155         261   18c0.4d80.9279  ARPA   Vlan108
Internet  161.8.108.156          21   c860.0086.2c0a  ARPA   Vlan108
Internet  161.8.108.158           2   bcae.c53e.d7e7  ARPA   Vlan108
Internet  161.8.108.159           2   1078.d24e.66a1  ARPA   Vlan108
Internet  161.8.108.163          95   e0d5.5e4c.f0d9  ARPA   Vlan108
Internet  161.8.108.167           2   0011.11e7.a2bc  ARPA   Vlan108
Internet  161.8.108.168         209   6c02.e073.be30  ARPA   Vlan108
Internet  161.8.108.171           0   d85e.d315.e44e  ARPA   Vlan108
Internet  161.8.108.172           0   7456.3c87.62ac  ARPA   Vlan108
Internet  161.8.108.173           0   Incomplete      ARPA   
Internet  161.8.108.174           1   001b.a9f2.4a14  ARPA   Vlan108
Internet  161.8.108.175           1   18c0.4d84.6c64  ARPA   Vlan108
Internet  161.8.108.176           2   0008.e107.1e96  ARPA   Vlan108
Internet  161.8.108.178           1   001b.a9f2.4a19  ARPA   Vlan108
Internet  161.8.108.180          41   bc0f.9a7e.4d28  ARPA   Vlan108
Internet  161.8.108.182           0   000b.8272.75ca  ARPA   Vlan108
Internet  161.8.108.185           1   18c0.4d85.2344  ARPA   Vlan108
Internet  161.8.108.186          26   50eb.f69b.bebc  ARPA   Vlan108
Internet  161.8.108.187          48   e0d5.5eb7.c133  ARPA   Vlan108
Internet  161.8.108.188         174   bc0f.9a7e.4dbe  ARPA   Vlan108
Internet  161.8.108.189           0   d050.9963.5378  ARPA   Vlan108
Internet  161.8.108.191          10   0007.3bbd.75e6  ARPA   Vlan108
Internet  161.8.108.192         200   d85e.d32f.268b  ARPA   Vlan108
Internet  161.8.108.193          12   18c0.4d17.086c  ARPA   Vlan108
Internet  161.8.108.195          32   18c0.4d15.b57e  ARPA   Vlan108
Internet  161.8.108.197           3   0080.7796.3860  ARPA   Vlan108
Internet  161.8.108.198           4   c860.0086.2cc8  ARPA   Vlan108
Internet  161.8.108.201           5   b4a9.5aac.6930  ARPA   Vlan108
Internet  161.8.108.202           1   18c0.4d17.0869  ARPA   Vlan108
Internet  161.8.108.203           0   b42e.990c.40d4  ARPA   Vlan108
Internet  161.8.108.207          18   e0d5.5e01.36eb  ARPA   Vlan108
Internet  161.8.108.208         168   001e.0b0d.81ef  ARPA   Vlan108
Internet  161.8.108.209          53   d050.9999.acc1  ARPA   Vlan108
Internet  161.8.108.210           1   18c0.4d85.51ae  ARPA   Vlan108
Internet  161.8.108.211           0   d050.9999.b70b  ARPA   Vlan108
Internet  161.8.108.220           0   000b.8264.2ba8  ARPA   Vlan108
Internet  161.8.108.221         119   18c0.4d17.09b2  ARPA   Vlan108
Internet  161.8.108.222           0   0007.3bc0.cc38  ARPA   Vlan108
Internet  161.8.108.223           6   b4b0.178e.0ed5  ARPA   Vlan108
Internet  161.8.108.224          39   7085.c220.c169  ARPA   Vlan108
Internet  161.8.108.226           0   18c0.4d84.c591  ARPA   Vlan108
Internet  161.8.108.228           6   001c.5856.df7a  ARPA   Vlan108
Internet  161.8.108.231         199   18c0.4d85.8ff4  ARPA   Vlan108
Internet  161.8.108.232           3   7456.3cc7.4769  ARPA   Vlan108
Internet  161.8.108.233          10   c81f.ea6f.77d4  ARPA   Vlan108
Internet  161.8.108.237          25   50eb.f69f.a12f  ARPA   Vlan108
Internet  161.8.108.239           7   c81f.ea5b.9c80  ARPA   Vlan108
Internet  161.8.108.240           9   c81f.ea5c.3fee  ARPA   Vlan108
Internet  161.8.108.242          56   18c0.4d85.2191  ARPA   Vlan108
